app_id,title,review_count,avg_review_score,low_score_rate_1_2,ad_complaint_rate,reward_rate,difficulty_rate,repetition_boredom_rate,bug_performance_rate,payment_iap_rate,positive_fun_rate,avg_risk_signal_count,review_risk_score,developer,genre,score,ratings_count,reviews_count,installs,min_installs,real_installs,free,contains_ads,in_app_purchase,updated,content_rating
io.voodoo.paper2,Paper.io 2,100,3.71,0.26,0.24,0.05,0.01,0.0,0.08,0.0,0.31,0.33,14.400000000000002,VOODOO,Arcade,4.0772824,2447769.0,139021.0,"100,000,000+",100000000,447366617,True,True,True,2026-05-20 15:22:56,Everyone
com.youmusic.magictiles,Magic Tiles 3™ - Piano Game,100,3.86,0.22,0.29,0.0,0.03,0.0,0.02,0.03,0.32,0.37,13.900000000000002,AMANOTES PTE. LTD.,Music,4.5849934,3470087.0,110552.0,"500,000,000+",500000000,818678707,True,True,True,2026-06-04 07:56:47,Everyone 10+
com.smallgiantgames.empires,Empires & Puzzles: Match-3 RPG,100,3.33,0.39,0.08,0.04,0.07,0.02,0.03,0.26,0.43,0.46,13.850000000000001,Small Giant Games,Puzzle,4.4654884,2389487.0,97679.0,"50,000,000+",50000000,78073656,True,True,True,2026-05-25 08:06:13,Everyone 10+
com.devsisters.cos,CookieRun: OvenSmash,100,3.47,0.33,0.0,0.0,0.09,0.04,0.25,0.04,0.49,0.42,13.850000000000001,Devsisters Corporation,Action,4.0607142,14229.0,1783.0,"1,000,000+",1000000,2596280,True,False,True,2026-06-01 15:48:46,Everyone
com.king.bubblewitch3,Bubble Witch 3 Saga,100,3.45,0.35,0.1,0.06,0.16,0.04,0.08,0.1,0.41,0.48,13.600000000000001,King,Puzzle,4.6582313,2701703.0,166254.0,"100,000,000+",100000000,117976240,True,True,True,2026-05-27 08:44:41,Everyone
com.nintendo.zara,Super Mario Run,100,2.99,0.47,0.03,0.03,0.04,0.02,0.01,0.22,0.26,0.32,13.05,"Nintendo Co., Ltd.",Action,3.8871732,1667936.0,90663.0,"100,000,000+",100000000,276221094,True,False,True,2026-05-12 08:53:29,Everyone
com.vincentb.MobControl,Mob Control,100,3.87,0.24,0.2,0.02,0.02,0.02,0.05,0.04,0.28,0.33,12.75,VOODOO,Arcade,4.3501735,909101.0,40468.0,"100,000,000+",100000000,258763634,True,False,True,2026-06-05 15:25:05,Everyone
com.rovio.baba,Angry Birds 2,100,3.31,0.38,0.08,0.01,0.05,0.0,0.07,0.08,0.31,0.28,12.55,Rovio Entertainment Oy,Casual,4.1044436,6300129.0,273753.0,"100,000,000+",100000000,339796807,True,True,True,2026-05-25 10:31:18,Everyone
com.codigames.hotel.empire.tycoon.idle.game,Hotel Empire Tycoon－Idle Game,100,4.0,0.19,0.16,0.03,0.02,0.0,0.12,0.08,0.36,0.38,12.4,Codigames,Simulation,4.3902993,509464.0,20027.0,"10,000,000+",10000000,25842761,True,True,True,2026-05-05 08:10:03,Everyone 10+
com.WalkTalk.FlightMaster,Epic Plane Evolution,100,3.52,0.35,0.16,0.02,0.06,0.01,0.01,0.02,0.22,0.26,12.4,VOODOO,Action,3.9838946,97280.0,6463.0,"10,000,000+",10000000,39458751,True,False,True,2026-05-28 16:11:14,Everyone
